/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Thu Jul 28 02:51:28 +0000 2016;Tiagojob;@CorreiosBR @Rio2016 foda-se, devolva-me o cd do Macklemore e Ryan Lewis extraviado por vcs 😡;
Thu Jul 28 02:51:04 +0000 2016;Embarque;48 horas pelas belezas imperdíveis do #RiodeJaneiro Dicas para curtir as #OlimpíadasnoRio #Rio2016 #EmbarqueNaViagem https://t.co/quyEQhDpjb;
Thu Jul 28 02:50:34 +0000 2016;bergaraujosilva;Ser contra as olimpíadas do #Rio2016 é uma coisa, apagar a tocha é babaquice.;
Thu Jul 28 02:50:33 +0000 2016;pedrohenricksc;RT @gusthpa: A tocha chegou no Rio e foi APAGADA em Angra dos Reis! HAHAHAHAHA

#Rio2016  #ChamaOlimpica https://t.co/KfBxHEP7IV;
Thu Jul 28 02:50:31 +0000 2016;Ibraceds_OS;RT @Brasil2016: O @kobrastreetart fez o mural da união dos povos no #Rio2016. Olha o detalhe do trabalho. https://t.co/0bBGFbXDLW 👍💪 https:…;
Thu Jul 28 02:50:29 +0000 2016;Nataly_damatta;#timebrasil #tochaolimpica #quemseatreve #issoéouro #Rio2016 #chamaquetransforma @ Anhembi… https://t.co/aAdgwyUiTo;
Thu Jul 28 02:50:24 +0000 2016;fimdejogo;RT @FimDeJogoVR: Segundo jornal local "Polícia identifica organizadores de movimento p/ apagar a tocha em VR" https://t.co/COYjvHGDxM #Rio2…;
Thu Jul 28 02:50:20 +0000 2016;dayse_marga;RT @CorreiosBR: Até mesmo os obstáculos da pista do hipismo foram entregues pelos Correios para os Jogos @Rio2016! #ISSOÉENTREGA https://t.…;
Thu Jul 28 02:50:17 +0000 2016;suiadylan;RT @anistiabrasil: Ativistas da @amnistiaperu enviam seu apoio. A violência não faz parte desse jogo! #Rio2016 https://t.co/K1bEdBPV1L http…;
Thu Jul 28 02:49:53 +0000 2016;rock_kmc;RT @g1: 'A nossa sorte é estarmos vivos', diz chinês assaltado no Rio. Foram levados R$ 40 mil  https://t.co/eoBKGvrcvU https://t.co/5cIVyk…;
