/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Sun May 15 00:38:33 +0000 2016;pmartinsfilho;RT @Rio2016: Fechamos o revezamento de hoje com ela: a Musa da elegância Sandra Annenberg e a @ChamaOlimpica. #ChamaElegante 🎩👒🔥 https://t.…;
Sun May 15 00:37:37 +0000 2016;Liliane_Moulin;RT @Rio2016: Fechamos o revezamento de hoje com ela: a Musa da elegância Sandra Annenberg e a @ChamaOlimpica. #ChamaElegante 🎩👒🔥 https://t.…;
Sun May 15 00:37:21 +0000 2016;RuanMuller;RT @Rio2016: Fechamos o revezamento de hoje com ela: a Musa da elegância Sandra Annenberg e a @ChamaOlimpica. #ChamaElegante 🎩👒🔥 https://t.…;
Sun May 15 00:37:19 +0000 2016;OLeandroBorges;RT @Rio2016: Fechamos o revezamento de hoje com ela: a Musa da elegância Sandra Annenberg e a @ChamaOlimpica. #ChamaElegante 🎩👒🔥 https://t.…;
Sun May 15 00:37:12 +0000 2016;Willisissy;RT @Rio2016: Fechamos o revezamento de hoje com ela: a Musa da elegância Sandra Annenberg e a @ChamaOlimpica. #ChamaElegante 🎩👒🔥 https://t.…;
Sun May 15 00:37:05 +0000 2016;RaUL_AMDERLAINE;O POTENSIAL MEMÉTICO DESSAS FOTO, MANO DO @Rio2016 ...;
Sun May 15 00:36:47 +0000 2016;Emanuel_Gama;RT @Rio2016: Fechamos o revezamento de hoje com ela: a Musa da elegância Sandra Annenberg e a @ChamaOlimpica. #ChamaElegante 🎩👒🔥 https://t.…;
Sun May 15 00:36:47 +0000 2016;RaUL_AMDERLAINE;RT @Rio2016: Fechamos o revezamento de hoje com ela: a Musa da elegância Sandra Annenberg e a @ChamaOlimpica. #ChamaElegante 🎩👒🔥 https://t.…;
Sun May 15 00:35:59 +0000 2016;tan_whatevs;RT @Rio2016: Fechamos o revezamento de hoje com ela: a Musa da elegância Sandra Annenberg e a @ChamaOlimpica. #ChamaElegante 🎩👒🔥 https://t.…;
Sun May 15 00:35:55 +0000 2016;ZeferinoJanio;RT @Rio2016: Fechamos o revezamento de hoje com ela: a Musa da elegância Sandra Annenberg e a @ChamaOlimpica. #ChamaElegante 🎩👒🔥 https://t.…;
Sun May 15 00:35:15 +0000 2016;Rio2016;Fechamos o revezamento de hoje com ela: a Musa da elegância Sandra Annenberg e a @ChamaOlimpica. #ChamaElegante 🎩👒🔥 https://t.co/KM2MOIQwtb;
Sun May 15 00:35:14 +0000 2016;jeftaday;RT @correio_dopovo: Palco de judô e lutas no @Rio2016 é inaugurado https://t.co/tfoj4nQStq https://t.co/oHhVXDnfgz;
Sun May 15 00:30:11 +0000 2016;correio_dopovo;Palco de judô e lutas no @Rio2016 é inaugurado https://t.co/tfoj4nQStq https://t.co/oHhVXDnfgz;
Sun May 15 00:29:44 +0000 2016;JakBarbosa1;RT @Nissan_Oficial: Hoje a Terezinha Guilhermina levou o ouro em mais uma prova: a condução da @ChamaOlimpica! #QuemSeAtreve #Rio2016
https…;
Sun May 15 00:29:35 +0000 2016;ScuttiSueli;RT @parsonsandrew: Nossa multi-campeã @teteguilhermina com a @ChamaOlimpica. Treinando muito forte para arrebentar nos Jogos @Rio2016. http…;
Sun May 15 00:26:36 +0000 2016;eicarlasouza;RT @clickpaulaf: Cantora agradecendo &lt;3 Toda baby, né nom? #rio2016 #paulafernandes @PaulaFernandes7 https://t.co/CG71Ot2umP;
Sun May 15 00:26:11 +0000 2016;ACNURBrasil;RT @LuizFGodinho: Em BH, @ChamaOlimpica da @Rio2016 é conduzida pelo @ACNURBrasil e homenageia refugiados do mundo @ONUBrasil https://t.co/…;
Sun May 15 00:24:52 +0000 2016;maatmcruz;#issoeouro #rio2016 @ Praça da Estação https://t.co/Qldkh1p6FR;
Sun May 15 00:24:45 +0000 2016;Leo_Balmant;olha a @ChamaOlimpica em BH. Vem @Rio2016 #ChamaOlimpica  !! https://t.co/6kERk0Yjo9;
Sun May 15 00:24:23 +0000 2016;ZContesini;RT @Nissan_Oficial: Hoje a Terezinha Guilhermina levou o ouro em mais uma prova: a condução da @ChamaOlimpica! #QuemSeAtreve #Rio2016
https…;
Sun May 15 00:24:01 +0000 2016;thaliesteffen;Dia 1 em Bangkok: mega cansada, mas embasbacada com a lindeza! #predrm #teamasia #rio2016 @… https://t.co/ifkYCRTMdv;
Sun May 15 00:22:23 +0000 2016;Olimpiadas_Fire;RT @TorcidaBrasil2: Rainha #Marta fala sobre a Final de #Beijing2008
Não chore, garota! Vocês terão outra chance!
#83Dias #Rio2016 https://…;
