/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Mon Apr 18 01:10:44 +0000 2016;kakarodrigues26;RT @alvarojosetv: Parabéns a equipe brasileira de ginastica artística feminina , classificada para os Jogos do #Rio2016  ....;
Mon Apr 18 01:10:40 +0000 2016;Seba_Pereira;RT @alvarojosetv: Parabéns a equipe brasileira de ginastica artística feminina , classificada para os Jogos do #Rio2016  ....;
Mon Apr 18 01:09:28 +0000 2016;jptimao03;RT @Corinthians: É nóis no @Rio2016! Leonardo de Deus garante vaga olímpica nos 200m borboleta no #MariaLenk https://t.co/un0Ceq05pW;
Mon Apr 18 01:08:29 +0000 2016;chriscoliveira8;Presente do meu amor... #moeda #Real #olimpiada #rio2016 #coin #moneda #money #numismatics… https://t.co/n5ATHqXL1i;
Mon Apr 18 01:08:19 +0000 2016;YAAKK;RT @laaficion: #Entérate: Madaí Pérez, se clasifica a @Rio2016 
 https://t.co/xyZawOn7yf https://t.co/v8Su5dAlGN;
Mon Apr 18 01:08:17 +0000 2016;pgamafilho;RT @alvarojosetv: Parabéns a equipe brasileira de ginastica artística feminina , classificada para os Jogos do #Rio2016  ....;
Mon Apr 18 01:07:43 +0000 2016;viniciusperilo;RT @alvarojosetv: Parabéns a equipe brasileira de ginastica artística feminina , classificada para os Jogos do #Rio2016  ....;
Mon Apr 18 01:06:35 +0000 2016;clonxf;RT @laaficion: #Entérate: Madaí Pérez, se clasifica a @Rio2016 
 https://t.co/xyZawOn7yf https://t.co/v8Su5dAlGN;
Mon Apr 18 01:06:17 +0000 2016;Seba_Pereira;RT @Brasil2016: Brasil e Alemanha já estão garantidos no @Rio2016. Bélgica e França tentam agora as vagas que estão com Austrália e Suíça,…;
Mon Apr 18 01:06:11 +0000 2016;nalvaromiranda;RT @laaficion: #Entérate: Madaí Pérez, se clasifica a @Rio2016 
 https://t.co/xyZawOn7yf https://t.co/v8Su5dAlGN;
Mon Apr 18 01:05:11 +0000 2016;AlePaes_Leme;RT @alvarojosetv: Parabéns a equipe brasileira de ginastica artística feminina , classificada para os Jogos do #Rio2016  ....;
Mon Apr 18 01:05:11 +0000 2016;Rodrigo_Justo15;RT @alvarojosetv: Parabéns a equipe brasileira de ginastica artística feminina , classificada para os Jogos do #Rio2016  ....;
Mon Apr 18 01:05:01 +0000 2016;gvenga;RT @alvarojosetv: Parabéns a equipe brasileira de ginastica artística feminina , classificada para os Jogos do #Rio2016  ....;
Mon Apr 18 01:04:29 +0000 2016;eugenioleal;RT @alvarojosetv: Parabéns a equipe brasileira de ginastica artística feminina , classificada para os Jogos do #Rio2016  ....;
Mon Apr 18 01:04:16 +0000 2016;alvarojosetv;Parabéns a equipe brasileira de ginastica artística feminina , classificada para os Jogos do #Rio2016  ....;
Mon Apr 18 01:04:03 +0000 2016;jmrotter;RT @laaficion: #Entérate: Madaí Pérez, se clasifica a @Rio2016 
 https://t.co/xyZawOn7yf https://t.co/v8Su5dAlGN;
Mon Apr 18 01:03:38 +0000 2016;laaficion;#Entérate: Madaí Pérez, se clasifica a @Rio2016 
