/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Wed Jun 29 03:08:14 +0000 2016;JBarbosa2014;WELCOME TO OLYMPIC GAMES / RIO 2016 @Olympics!

(Eu amo o Rio! É um absurdo o que fazem com essa cidade!)

#RIO2016 https://t.co/rHamQruZqG;
Don't come! https://t.co/KGkCUhHvPA;
Wed Jun 29 01:52:19 +0000 2016;EmersoneRafa;RT @ebcnarede: Para a @Rio2016, famílias da Vila Autódromo foram removidas. Saiba como elas vivem hoje: https://t.co/K3FyOJw8ap https://t.c…;
Wed Jun 29 01:52:10 +0000 2016;tuiterdoluiz;Osmar Santos vem aí, garoto bom de bola! O pai da matéria, o Pelé do rádio. Esse merece demais. Bom, muito bom! https://t.co/C4b25zvPRc;
Wed Jun 29 01:51:47 +0000 2016;InfoNostalgia;RT @CocaCola_Br: .@FeCastanhari e @t3ddyyyyy piraram na #TochaOlímpica #Rio2016 #IssoÉOuro #DeCaronaComATocha https://t.co/LppFH63Voz https…;
Wed Jun 29 01:50:55 +0000 2016;paulo_manso;Não se pode circular pelo Rio
#Rio2016 https://t.co/7tL0XBlOa9;
Wed Jun 29 01:50:01 +0000 2016;T3ddiota;RT @CocaCola_Br: .@FeCastanhari e @t3ddyyyyy piraram na #TochaOlímpica #Rio2016 #IssoÉOuro #DeCaronaComATocha https://t.co/LppFH63Voz https…;
Wed Jun 29 01:49:59 +0000 2016;SurtoOlimpico;.@TeddyTamgho está fora do @Rio2016 https://t.co/TRypPeA4K9 https://t.co/Kzik8qMQkZ;
Wed Jun 29 01:49:55 +0000 2016;eusouacat;RT @alexpussieldi: Mais um campeão olímpico de fora do #Rio2016 #SwimTrials16;
Wed Jun 29 01:49:48 +0000 2016;afsouzza;RT @CocaCola_Br: .@FeCastanhari e @t3ddyyyyy piraram na #TochaOlímpica #Rio2016 #IssoÉOuro #DeCaronaComATocha https://t.co/LppFH63Voz https…;
